32, greedy, g2opt (fs), g2opt (bs), f2opt, tabu (1/10-fixed), tabu (1/5-fixed), tabu (1/10-1/10), tabu (1/5-1/10), tabu (1/5-1/5), vns, fvns, benders loop, benders loop (patch), Branch and Cut, Branch and Cut (warm), Branch and Cut (rcb), Branch and Cut (warm) (rcb), Branch and Cut (warm) (rcb) (ccb-patch), Branch and Cut (warm) (rcb) (rcb-patch), Branch and Cut (warm) (rcb) (both-patch), Branch and Cut (warm) (rcb) (ccb-patch), fvns, Hard Fixing (20%), Hard Fixing (40%), Hard Fixing (60%), Hard Fixing (80%), Local Branching v1 (20), Local Branching v1 (50), Local Branching v1 (100), Local Branching v2, Local Branching v2 (context-whole), Local Branching v2 (context-2)
1, 216311.0000, 193009.0000, 191078.0000, 199011.0000, 192009.0000, 192195.0000, 190103.0000, 190290.0000, 189613.0000, 187499.0000, 188920.0000, 130534.0000, 130534.0000, 130534.0000, 130534.0000, 130534.0000, 130534.0000, 130534.0000, 130534.0000, 130534.0000, 245030.0000, 245678.0000, 259405.0000, 259405.0000, 259405.0000, 255461.0000, 259405.0000, 254991.0000, 259405.0000, 244067.0000, 240796.0000, 242572.0000
2, 220546.0000, 188114.0000, 186258.0000, 198410.0000, 186782.0000, 186782.0000, 185023.0000, 186782.0000, 184457.0000, 183070.0000, 183807.0000, 129173.0000, 129173.0000, 129173.0000, 129173.0000, 129173.0000, 129173.0000, 129173.0000, 129173.0000, 129173.0000, 244850.0000, 244209.0000, 261736.0000, 261736.0000, 261736.0000, 259800.0000, 261736.0000, 258147.0000, 250972.0000, 243356.0000, 242762.0000, 243091.0000
3, 212804.0000, 188685.0000, 186353.0000, 197551.0000, 188503.0000, 188503.0000, 187703.0000, 188503.0000, 187338.0000, 186488.0000, 185957.0000, 128401.0000, 128401.0000, 128401.0000, 128401.0000, 128401.0000, 128401.0000, 128401.0000, 128401.0000, 128401.0000, 243267.0000, 244261.0000, 260361.0000, 260361.0000, 260361.0000, 255982.0000, 257338.0000, 253399.0000, 247364.0000, 240511.0000, 241652.0000, 240581.0000
4, 212890.0000, 186142.0000, 183021.0000, 195553.0000, 184994.0000, 184994.0000, 183381.0000, 184337.0000, 182396.0000, 181839.0000, 181105.0000, 126184.0000, 126184.0000, 126184.0000, 126184.0000, 126184.0000, 126184.0000, 126184.0000, 126184.0000, 126184.0000, 244656.0000, 240147.0000, 255322.0000, 255322.0000, 255322.0000, 252663.0000, 255322.0000, 247297.0000, 255322.0000, 241213.0000, 239237.0000, 238888.0000
5, 217591.0000, 189169.0000, 187739.0000, 203031.0000, 188306.0000, 188306.0000, 187460.0000, 188306.0000, 187186.0000, 184329.0000, 185015.0000, 130749.0000, 130749.0000, 130749.0000, 130749.0000, 130749.0000, 130749.0000, 130749.0000, 130749.0000, 130749.0000, 242555.0000, 241546.0000, 254741.0000, 254741.0000, 254741.0000, 251321.0000, 254741.0000, 254741.0000, 248166.0000, 237380.0000, 239764.0000, 239861.0000
6, 219262.0000, 189588.0000, 188207.0000, 199106.0000, 190293.0000, 190293.0000, 190293.0000, 190293.0000, 190293.0000, 184555.0000, 185983.0000, 130710.0000, 130710.0000, 130710.0000, 130710.0000, 130710.0000, 130710.0000, 130710.0000, 130710.0000, 130710.0000, 246259.0000, 243823.0000, 258910.0000, 258910.0000, 258910.0000, 253967.0000, 258910.0000, 258910.0000, 253257.0000, 243949.0000, 242518.0000, 242480.0000
7, 211359.0000, 187388.0000, 185627.0000, 198430.0000, 187618.0000, 187618.0000, 186562.0000, 187618.0000, 184960.0000, 183021.0000, 182282.0000, 130795.0000, 130795.0000, 130795.0000, 130795.0000, 130795.0000, 130795.0000, 130795.0000, 130795.0000, 130795.0000, 243533.0000, 242477.0000, 254961.0000, 254961.0000, 254961.0000, 253632.0000, 251565.0000, 251103.0000, 249739.0000, 239716.0000, 240187.0000, 240337.0000
8, 218218.0000, 190890.0000, 188773.0000, 199505.0000, 190194.0000, 190194.0000, 188419.0000, 190194.0000, 188080.0000, 185052.0000, 184216.0000, 125835.0000, 125835.0000, 125835.0000, 125835.0000, 125835.0000, 125835.0000, 125835.0000, 125835.0000, 125835.0000, 239665.0000, 239272.0000, 248029.0000, 248029.0000, 248029.0000, 245405.0000, 248029.0000, 246082.0000, 241677.0000, 236043.0000, 234062.0000, 235215.0000
9, 215610.0000, 186200.0000, 184559.0000, 194919.0000, 186442.0000, 186442.0000, 184800.0000, 186442.0000, 185052.0000, 181370.0000, 181574.0000, 129654.0000, 129654.0000, 129654.0000, 129654.0000, 129654.0000, 129654.0000, 129654.0000, 129654.0000, 129654.0000, 248123.0000, 244734.0000, 256369.0000, 256369.0000, 256369.0000, 253486.0000, 253609.0000, 252609.0000, 251842.0000, 242746.0000, 241921.0000, 242353.0000
10, 215565.0000, 186632.0000, 185038.0000, 202591.0000, 187493.0000, 187493.0000, 185037.0000, 187409.0000, 184832.0000, 183626.0000, 184301.0000, 133603.0000, 133603.0000, 133603.0000, 133603.0000, 133603.0000, 133603.0000, 133603.0000, 133603.0000, 133603.0000, 240742.0000, 238998.0000, 254354.0000, 254354.0000, 254354.0000, 250944.0000, 250937.0000, 249674.0000, 248735.0000, 238194.0000, 238740.0000, 238837.0000
