3, greedy, g2opt (fs), g2opt (bs)
1, 0.475, 42.8051, 43.7212
2, 0.4184, 44.4132, 46.5803
3, 0.4125, 40.1408, 39.1418
4, 0.4151, 40.1059, 41.7478
5, 0.4073, 43.7636, 44.0488
6, 0.4327, 44.1494, 42.6546
7, 0.4034, 42.4796, 42.3427
8, 0.5034, 42.0904, 43.4669
9, 0.4743, 42.1042, 43.4135
10, 0.4272, 43.384, 44.5624
11, 0.5064, 39.4039, 40.1128
12, 0.4606, 45.3489, 42.6725
13, 0.5196, 39.8647, 41.7389
14, 0.4564, 46.9182, 45.0771
15, 0.4423, 35.9018, 36.9634
16, 0.3952, 37.9469, 38.578
17, 0.409, 42.2651, 42.7732
18, 0.4951, 41.9349, 42.6335
19, 0.4524, 44.55, 44.3989
20, 0.4086, 44.8283, 46.0258
